user_id,user_name,user_registration_address,user_phone,user_email,user_birthdate,status
1,Онуфрий Жаринов,"Лыткарино, Аллея Старонародная 148",+7-***-430-6958,lap1987@yandex.ru,1984-12-01,accepted
2,Лола Новгородцева,"Тольятти, ул. Головин Б. 830",+7-***-356-7568,rewards1859@mail.ru,1959-03-22,accepted
3,Фаина Чернева,"Калининск, Аллея Третьего Интернационала 98",+7-***-431-9125,optimize2027@yahoo.com,1984-08-28,accepted
4,Серафим Берестов,"Павлово, Аллея Радиаторская 2-я 1022",+7-***-695-6230,furthermore1938@outlook.com,1987-10-17,accepted
5,Азиза Мухина,"Навашино, Аллея Сусоколовское 1330",+7-***-000-6631,major1915@mail.com,1963-08-04,accepted
6,Дорофей Маркианов,"Выкса, Аллея Маяковского 1263",+7-***-516-4516,grew2055@mail.ru,1962-05-17,accepted
7,Корнилий Власьев,"Кострома, ул. Первомайская Верхн. 91",+7-***-860-9763,regulatory1899@mail.ru,2003-11-23,accepted
8,Протасий Фрай,"Макарьев, ул. Факельный Б. 580",+7-***-818-1018,surrounding2026@gmail.com,1977-12-07,accepted
9,Евангелина Ширяева,"Краснодар, Аллея Изваринская 972",+7-***-741-9823,reform1893@outlook.com,1976-08-29,accepted
10,Зиновий Вавилин,"Куртамыш, Аллея Черневская 416",+7-***-714-2180,shirt1818@mail.com,2002-03-09,deleted
11,Агата Акатова,"Жуков, Аллея Новоконная 26",+7-***-368-5918,stereo1876@mail.com,1979-09-19,accepted
12,Эвелина Рыбакова,"Троицк, ул. Планетная 1345",+7-***-208-2450,maryland2008@outlook.com,1985-11-09,accepted
13,Никанор Викентьев,"Гремячинск, Аллея Радиальная 9-я 1322",+7-***-674-5580,scripts2046@yandex.ru,1990-04-18,accepted
14,Антон Табаков,"Краснослободск, Аллея Защитников Неба 335",+7-***-015-7051,interim1950@protonmail.com,1991-05-21,accepted
15,Акакий Остратов,"Волоколамск, Аллея Маршала Федоренко 485",+7-***-973-4581,gateway1952@yahoo.com,1967-12-29,accepted
16,Диана Сенчина,"Зеленокумск, ул. Котляковская 463",+7-***-529-3571,tasks1842@outlook.com,1977-12-31,accepted
17,Виссарион Новосельцев,"Канск, ул. Перервинская 217",+7-***-515-8737,admit1902@yandex.ru,1994-12-07,registered
18,Мина Сухилина,"Серов, ул. Северная 2-я 58",+7-***-657-0990,converted2039@hotmail.com,1978-08-29,accepted
19,Эдуард Бровцев,"Слободской, Аллея Мелитопольская 2-я 1248",+7-***-295-2097,insider1905@mail.ru,1957-11-16,accepted
20,Грета Власьева,"Наволоки, Аллея Хорошевская 3-я 1291",+7-***-926-1935,palestinian1966@ya.ru,1991-03-19,accepted
21,Харитон Гаммер,"Себеж, ул. Казенный М. 947",+7-***-488-0814,forget1931@mail.ru,1985-11-21,accepted
22,Юна Третьякова,"Пятигорск, Аллея Беловежская 2",+7-***-682-1870,lewis1986@yandex.ru,1979-01-29,accepted
23,Августа Кириллова,"Верхняя Пышма, Аллея Карельская 150",+7-***-221-7941,requested1880@mail.ru,1965-04-26,registered
